number,Act_speed
142,7501.316071
143,9925.117493
144,10000.07629
145,10000.19073
146,10001.04904
147,9998.931885
148,9998.703003
149,9998.703003
150,10000.30518
151,10000.3624
152,9998.416901
153,10000.30518
154,10001.16348
155,9998.588562
156,9998.588562
157,10000.13351
158,10001.2207
159,9998.703003
160,10000.9346
161,10000.24796
162,10001.33514
163,9998.645782
164,9998.588562
165,10000.13351
166,10000.07629
167,10001.04904
168,10000.30518
169,10000.41962
170,10000.07629
171,10000.30518
172,9998.645782
173,10001.27792
174,9998.588562
175,9998.416901
176,10001.33514
177,10001.33514
178,9998.703003
179,10000.19073
180,10000.30518
181,10000.9346
182,9998.35968
183,9998.760223
184,10000.3624
185,9938.163757
186,3490.219116
187,0
188,0
189,0
190,0
191,0
192,1974.220276
193,5084.609985
194,7945.404053
195,10307.35016
196,12499.3515
197,12501.46866
198,12498.55042
199,12501.18256
200,12500.78201
201,12501.75476
202,12499.3515
203,12500.55313
204,12498.60764
205,12499.12262
206,12502.04086
207,12499.46594
208,12499.46594
209,12501.8692
210,12501.52588
211,12498.32153
212,12500.83923
213,12501.297
214,12501.52588
215,12499.69482
216,12499.0654
217,12499.6376
218,12500.20981
219,12501.52588
220,12497.92099
221,12498.89374
222,12498.95096
223,12498.49319
224,12499.3515
225,12498.95096
226,12498.66486
227,12501.18256
228,12498.55042
229,12501.64032
230,12499.17984
231,12500.83923
232,12501.92642
233,12499.86649
234,12498.89374
235,12501.81198
236,12501.5831
237,13826.63727
238,14998.74115
239,14998.97003
240,14999.02725
241,14998.62671
242,14998.79837
243,14999.14169
244,14998.97003
245,14999.14169
246,14998.79837
247,14998.51227
248,14998.79837
249,14999.14169
250,14999.31335
251,14998.85559
252,14999.08447
253,14998.68393
254,14998.97003
255,14998.68393
256,14998.85559
257,14998.97003
258,14998.62671
259,14998.74115
260,14999.31335
261,14999.02725
262,14999.25613
263,14999.02725
264,14998.97003
265,14998.97003
266,14999.19891
267,14999.14169
268,14999.25613
269,14999.25613
270,14999.08447
271,14999.02725
272,14999.25613
273,14999.08447
274,14999.37057
275,14998.74115
276,14998.51227
277,14999.02725
278,14999.19891
279,14999.31335
280,14998.74115
281,14999.25613
282,14999.37057
283,16002.33078
284,17321.49124
285,17500.53406
286,17500.99182
287,17499.21799
288,17499.21799
289,17501.67847
290,17500.19073
291,17498.93188
292,17499.38965
293,17499.04633
294,17499.27521
295,17499.44687
296,17497.78748
297,17501.10626
298,17499.16077
299,17500.47684
300,17501.33514
301,17499.16077
302,17498.07358
303,17501.73569
304,17498.58856
305,17499.21799
306,17501.50681
307,17498.24524
308,17501.10626
309,17500.82016
310,17498.35968
311,17498.30246
312,17500.82016
313,17498.58856
314,17501.44958
315,17500.99182
316,17498.18802
317,17500.47684
318,17500.53406
319,17500.24796
320,17500.82016
321,17497.38693
322,17501.90735
323,17498.98911
324,17500.41962
325,17501.39236
326,17500.99182
327,17501.16348
328,17497.15805
329,18188.15231
330,19349.72763
331,19999.29428
332,20001.81198
333,20001.8692
334,19999.23706
335,19999.80927
336,20001.8692
337,20001.69754
338,20001.8692
339,19999.6376
340,19999.17984
341,20001.297
342,20001.5831
343,20000.43869
344,20000.26703
345,19998.55042
346,19999.23706
347,19998.72208
348,20001.8692
349,19999.23706
350,19998.95096
351,20001.98364
352,20000.43869
353,20000.26703
354,20000.03815
355,19999.92371
356,20000.49591
357,20000.20981
358,19998.43597
359,19999.92371
360,19998.7793
361,19999.23706
362,20001.69754
363,20000.20981
364,20000.09537
365,20000.61035
366,19998.7793
367,20001.75476
368,19999.23706
369,20001.35422
370,20000.49591
371,19999.23706
372,20001.297
373,21094.66553
374,22048.70224
375,22498.45505
376,22498.91281
377,22499.88556
378,22498.91281
379,22498.85559
380,22500
381,22498.85559
382,22500.05722
383,22500.34332
384,22500.2861
385,22500.40054
386,22500.40054
387,22498.68393
388,22500.80109
389,22500.40054
390,22498.97003
391,22500
392,22500
393,22498.45505
394,22499.02725
395,22498.68393
396,22498.79837
397,22500.51498
398,22499.82834
399,22500.2861
400,22499.31335
401,22499.94278
402,22499.82834
403,22499.19891
404,22498.91281
405,22498.56949
406,22498.79837
407,22498.85559
408,22498.39783
409,22500.05722
410,22499.88556
411,22500.05722
412,22498.51227
413,22498.74115
414,22500.17166
415,22499.88556
416,22499.48502
417,22500.11444
418,23279.97208
419,24173.12622
420,25005.45502
421,24999.79019
422,24999.44687
423,25000.9346
424,25001.39236
425,24999.27521
426,24998.98911
427,24999.73297
428,25001.27792
429,24999.27521
430,24998.87466
431,24999.10355
432,24999.50409
433,24999.21799
434,25001.10626
435,25001.44958
436,25000.13351
437,25001.16348
438,25001.67847
439,25000.9346
440,25000.76294
441,25001.04904
442,24999.38965
443,25000.3624
444,25001.67847
445,24998.53134
446,24999.50409
447,25001.62125
448,24999.50409
449,24999.79019
450,24999.10355
451,25000.9346
452,24999.96185
453,25000.47684
454,25000.59128
455,24999.21799
456,24999.56131
457,25000.01907
458,24999.04633
459,24999.44687
460,24999.90463
461,25001.04904
462,24999.04633
463,24999.96185
464,25001.16348
465,25000.87738
466,25000.30518
467,24999.61853
468,24999.10355
469,24999.96185
470,24999.44687
471,24998.87466
472,25000.87738
473,24999.96185
474,24999.56131
475,25000.6485
476,24999.04633
477,24999.21799
478,25000.19073
479,24998.98911
480,25000.70572
481,25000.41962
482,25000.70572
483,25000.6485
484,25000.3624
485,24998.98911
486,25001.10626
487,25000.76294
488,23942.69943
489,22878.28445
490,21502.0752
491,20336.15112
492,18477.00119
493,17140.73181
494,15823.23074
495,14264.65988
496,12560.17685
497,9358.74939
498,6472.663879
499,2977.981567
500,0
501,0
502,0
503,0
504,0
505,0
506,2308.158875
507,2500.247955
508,2499.961853
509,2500.419617
510,2500.133514
511,2500.019073
512,2499.904633
513,2500.133514
514,2500.076294
515,2500.019073
516,2500.019073
517,2500.019073
518,2500.133514
519,2499.961853
520,2500.133514
521,2500.019073
522,2499.961853
523,2499.904633
524,2499.847412
525,2499.904633
526,2500.247955
527,2499.61853
528,2499.847412
529,2499.675751
530,2500.076294
531,2499.790192
532,2499.961853
533,2499.61853
534,2500.019073
535,2499.675751
536,2500.019073
537,2499.847412
538,2500.076294
539,2499.904633
540,2500.019073
541,2499.675751
542,2499.961853
543,2500.019073
544,2499.790192
545,2499.961853
546,2499.790192
547,2500.076294
548,2500.076294
549,2499.847412
550,2499.904633
551,2500.076294
552,2499.732971
553,3437.576294
554,4999.866486
555,4999.866486
556,5000.324249
557,4999.980927
558,4999.694824
559,4999.809265
560,5000.324249
561,4999.980927
562,4999.637604
563,4999.980927
564,4999.923706
565,5000.038147
566,5000.095367
567,5000.324249
568,4999.866486
569,4999.752045
570,5000.38147
571,4999.923706
572,4999.923706
573,4999.866486
574,5000.43869
575,4999.637604
576,4999.752045
577,4999.866486
578,5000.324249
579,4999.923706
580,4999.866486
581,5000.324249
582,5000.38147
583,4999.809265
584,4999.694824
585,4999.809265
586,4999.809265
587,4999.694824
588,5000.324249
589,4999.923706
590,4999.580383
591,5000.152588
592,5000.209808
593,4999.980927
594,4999.694824
595,5000.038147
596,5000.095367
597,5000.095367
598,4999.752045
599,7498.79837
600,7498.970032
601,7501.487732
602,7498.912811
603,7501.487732
604,7501.659393
605,7501.773834
